state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Himachal Pradesh,2022,SANJAY KUMAR,Arki,Independent,False,,,
Himachal Pradesh,2022,RAJINDER RANA,Sujanpur,Indian National Congress,True,,,
