state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Haryana,2024,SHAMSHER SINGH GOGI,ASSANDH,Indian National Congress,False,1685,SHAMSHER_SINGH_GOGI__1685.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ik0xZ1dsNk4wTUlIRGduK1JxUlovcWc9PSIsInZhbHVlIjoiayttbktqRUdsU3NKSy8rZGxGdlgydz09IiwibWFjIjoiYjgzODgwNjM5NGQwNTQ1NTk0MjNkNjYyMzJkMmJjMmFhM2YwYjM4ODZkMDdlMjhhMjJjZDcwMzY5NTRkZmYwNSIsInRhZyI6IiJ9/eyJpdiI6IlJ6T2NRL2dpT2ZJYTlSTzFsaU53cHc9PSIsInZhbHVlIjoiR1dYb08wbjVGWlloVmJDVzhGNTdmUT09IiwibWFjIjoiYWQ5NDIzN2I4OTUyMDlmZTc0ZTMzMDdjMGE1MGJlYTcyNjliM2JhOWY5NDAwYjhhOWYxOTBkMTcwY2RhMDU1OCIsInRhZyI6IiJ9/eyJpdiI6Ink3cEhnZDR3LzdCaFJoTk5aL2tnS2c9PSIsInZhbHVlIjoiTGkrSnNjK3JYRkFhcjdWQUxIVkxsZz09IiwibWFjIjoiNWNiMmZhMWQwZmNlMDRiYjc3ZmZmMGVkNzZiY2NhMzcxNWM2Zjg4NmNiMTczZjBhZmE3ZmI1OWQyMWQxMWE2NCIsInRhZyI6IiJ9/eyJpdiI6IkJQZ0t2eXM4ZndqUjZ6cjFOd2JEQXc9PSIsInZhbHVlIjoiUnlPeVRYcHp4cXpGc3QzZkNSbitEdz09IiwibWFjIjoiNWJiZDA0YTA5YjIzMmZlNmJhNWI5ZWUyODMxMzljYzNhOWM1YjU0OWFmNGQ2YjQ0MTJiNDM2ZTU5ZGMwZjM0ZiIsInRhZyI6IiJ9/eyJpdiI6Im9QNHp3ZmFzYXJHd0tiUmE5NDRDa0E9PSIsInZhbHVlIjoiWldRMXNDNE1yaUxSbVJ6UkFtaGsvUT09IiwibWFjIjoiMWI1OTE5YzQ4MWJmODczNGRiOGE5YjlmMjQzYTRiYzkxYmRhMGI4OTFhYzhkOGFkZjdiOTMwODYxNGYxYTZkMCIsInRhZyI6IiJ9
Haryana,2024,SATISH KUMAR PHAGNA,FARIDABAD NIT,Bharatiya Janata Party,True,2769,SATISH_KUMAR_PHAGNA__2769.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjZJQ21xZEhpek5MaVZpb3dxcjZMNkE9PSIsInZhbHVlIjoidU53d0g1YVBUYWdxeVhHTU5ZRkZsdz09IiwibWFjIjoiMTk4NDE3MjRmZmQwNGNhMGU1Yjk5YmY1YTg4MDA5ZWYxYzc0MWExM2ZhNjkxOTg0MWI0MzI5ZjVmYTQyNWRlNiIsInRhZyI6IiJ9/eyJpdiI6IjNCRHkxR1ZEd0xnN1NNWitEOEtNV1E9PSIsInZhbHVlIjoiNlFtR2ErZ2FIaWtZMXNYVW1qdElldz09IiwibWFjIjoiMGUyODFkMzUyNjZlYTIzMTJkNzhmZmRlZjVhZDhjZmY1ZmI2NGZhMjRmZTA3MmIzM2E5ZDQ1NmI2Njk0ZjIyZSIsInRhZyI6IiJ9/eyJpdiI6IithNyswYUlRaHdPWXdjQk5paGdQWGc9PSIsInZhbHVlIjoicjUyZ0tlWFJ0a0c5cnVVcjJkQit5QT09IiwibWFjIjoiODQxNDA0ZjEyZWMwYzhmNjk5NmM5OTQ1Mjc4MGYzODFlMGY3ZTRhZjNiY2RiN2NiMjNiYTczYWU2M2M2MThiNiIsInRhZyI6IiJ9/eyJpdiI6IkE4NzNxRGxpRTdVdm5ib2xhWFFnMUE9PSIsInZhbHVlIjoiN1JmY3NLZGNoZElkU3dYYTYzUzFiZz09IiwibWFjIjoiZTZlMWMzNDJlOTk2YzFjMzljZGRhMGY4NGQyNmQ0MTE5ZThkYmI1ZTg1Nzg2NWE1ZmIwZDk5OGMxZWRiMzFlNCIsInRhZyI6IiJ9/eyJpdiI6IldZc2hZamlvN2NUMk0xRDNhTlNBaXc9PSIsInZhbHVlIjoicWNjNXdPUDk2Qkk0OThRUUQwcjdtQT09IiwibWFjIjoiNGQyMDljMzRjMWViMWY5YmUwZDk5ZTkxZTU2MTFlNmFjMmU5MzRkODA5ZDczN2Y3ZDM2YmE2MjQ2OTFhMzc4NSIsInRhZyI6IiJ9
Haryana,2024,OM SINGH,TOSHAM,Bahujan Samaj Party,False,1825,OM_SINGH__1825.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ijg1eGl5OUFDdmNoaTc5WUdPR0daN3c9PSIsInZhbHVlIjoiOEdXQjJxMkN3Q0t0clNRZk9TS1pWZz09IiwibWFjIjoiOThmNzdiNTM1ZmNkMzllNTRiMTI5YzRhNWY2NjgyZWFhNWU1M2IzYWY1ZmU5MGI0Mjg4ZGUxZjMxODNjMTIwZSIsInRhZyI6IiJ9/eyJpdiI6InUrQW8yMnZkY2h0REwvYW1uNVNnSlE9PSIsInZhbHVlIjoieitaVWdsU09VRDJ1TDhMMkUwL0l1dz09IiwibWFjIjoiYWFhNzMyZjFhNzNjZjQ4NjZlMTAxYTUzNDAwOTYyNmFmOWFiM2M0ZWNhYzM5OTE2ZjVmY2E5ZDMyN2NhN2RmOSIsInRhZyI6IiJ9/eyJpdiI6IkVqdmV5M0dlQVdtQ2VyT0NJNnNZWUE9PSIsInZhbHVlIjoia3E1RHdrZXdBd3M1Mi9scTlYUFo0Zz09IiwibWFjIjoiMTY5ZGUwZjRhYmE5NzljMDE1MjIyZWViMWI0NTAxYzFmNTBhMmE0YjE5NWNkNTY4YjIzMDgzMDEyODg0ZWM0ZiIsInRhZyI6IiJ9/eyJpdiI6IjBUYmZvbHphV01pQlA2RTJVREVVb0E9PSIsInZhbHVlIjoienhGN29wc0NUeHhXdHoxcDZscTFkZz09IiwibWFjIjoiNTZkZTI1MmYwNmI3OTc5NjY0MDM2YjkyNDhkNDVhZWRlOTIwMDc1NjM1NDM5NTA0OWI5YTljNTgyNjc2YmM5MiIsInRhZyI6IiJ9/eyJpdiI6ImcvdWl2bEhGTlFYc2RubVpNSGZVZGc9PSIsInZhbHVlIjoidUJkNDZqYUg5VGtmZGJLTUNUMmRhQT09IiwibWFjIjoiNTc5NTdmYzJjYzZmMjIxN2UzNmNhYmUwYTgzMTc0OWJjMjI3YTY1ZGQ1MWY3MTVmNzNjZTVhYzc1MmI4OTY3MCIsInRhZyI6IiJ9
