state,title,publication_date,report_type,sector,audit_year,detail_url,pdf_url,pdf_size_mb,scraped_at,report_no
,Report 2 of 2026: Report of the Comptroller and Auditor General of India on Union Territory Finances for the year 2024-25,,,Finance,2024-25,https://cag.gov.in/en/audit-report/details/125155,/webroot/uploads/download_audit_report/2026/UTFAR-2024-25-069ce4a2dc9f5a3.97561867.pdf,,2026-07-22T13:04:41Z,
,"Report 1 of 2026: Report of Comptroller and Auditor General of India, Composite Audit Report: UT Revenues of UT of Jammu and Kashmir for the period ended March 2023",,Compliance,Finance,2022-23,https://cag.gov.in/en/audit-report/details/125072,/webroot/uploads/download_audit_report/2026/J&amp;K_UT-Revenues_CAR_Report-01_English_26-02-2026_signed-069cac1e13cc021.26674148.pdf,,2026-07-22T13:04:41Z,
,Report 1 of 2025: Report of the Comptroller and Auditor General of India on Union Territory Finances for the year 2023-24,,,Finance,2023-24,https://cag.gov.in/en/audit-report/details/125153,/webroot/uploads/download_audit_report/2025/UTFAR-2023-24-069ce49ce75a6f9.86655486.pdf,,2026-07-22T13:04:45Z,
,"Report 7 of 2025: Report of Comptroller and Auditor General of India: Compliance Audit Report -Civil -I,  of UT of Jammu and Kashmir for the Period ended March 2023",,Compliance,Social Infrastructure,2022-23,https://cag.gov.in/en/audit-report/details/125071,/webroot/uploads/download_audit_report/2025/J&amp;K_Report-No-7_Civil-I-2023_6-1-2026_signed-069cac100544a87.26773720.pdf,,2026-07-22T13:04:48Z,
,Report 6 of 2025: Report of Comptroller and Auditor General of India: Composite Audit Report - Civil of UT of Jammu and Kashmir for the period ended March 2022,,Compliance,Social Welfare,2021-22,https://cag.gov.in/en/audit-report/details/125070,/webroot/uploads/download_audit_report/2025/Report-No.-06-Civil-J&amp;K-English---20-11-2025-signed-069cabffe57ace6.90320005.pdf,,2026-07-22T13:04:48Z,
,"Report 5 of 2025:  Report of Comptroller and Auditor General of India:Compliance Audit Report - Revenue and Public Sector Undertakings, UT of Jammu and Kashmir for period ended March 2022",,Compliance,Finance,2021-22,https://cag.gov.in/en/audit-report/details/125069,/webroot/uploads/download_audit_report/2025/Report-No-05-J&amp;K-PSU-English_20-11-2025-signed-069cabdefec7a77.69528722.pdf,,2026-07-22T13:04:48Z,
,Report 4 of 2025: Report  of Comptroller and Auditor General of India on Conservation and Management of Lakes in Jammu and Kashmir for the period  ended March 2022,,,Environment and Sustainable Development,2021-22,https://cag.gov.in/en/audit-report/details/125068,/webroot/uploads/download_audit_report/2025/Report-No-04-Lakes-Final-English-J&amp;K---20-11-2025-signed-069cabc661d1667.35200540.pdf,,2026-07-22T13:04:48Z,
,Report 3 of 2025 :  Report  of Comptroller and Auditor General of India on Working of University of Jammu for period ended March 2022,,,"Education, Health & Family Welfare",2021-22,https://cag.gov.in/en/audit-report/details/125067,/webroot/uploads/download_audit_report/2025/Report-no.-03-WOJU-English---20-11-2025-signed-069caba16ea3546.98972924.pdf,,2026-07-22T13:04:48Z,
,Report 2 of 2025 : Report of Comptroller and Auditor General of India on Public Health Infrastructure and Management of Health Services for the Period ended March 2022,,,"Education, Health & Family Welfare",2021-22,https://cag.gov.in/en/audit-report/details/125066,/webroot/uploads/download_audit_report/2025/Report-No.-02-PHIMS-J&amp;K-English---20-11-2025-signed-069cab86ccc40c6.46964997.pdf,,2026-07-22T13:04:48Z,
,Report 1 of 2024: Report of the Comptroller and Auditor General of India  on Union Territory Finances  for the year 2022-23,,,Finance,2022-23,https://cag.gov.in/en/audit-report/details/125065,/webroot/uploads/download_audit_report/2024/Report-No.-1-of-2024-UTFAR-22-23_JK-English-(27-03-2025)-069cab5c0044fc7.69944252.pdf,,2026-07-22T13:05:42Z,
,"Report No. 3 of the year 2022 -  Compliance Audit for the year ended 31 March 2021, Government of Union Territory of Jammu and Kashmir.",,Compliance,Industry and Commerce,2020-21,https://cag.gov.in/en/audit-report/details/118552,/webroot/uploads/download_audit_report/2023/Report-No.-3-of-2022_Comnpliance_English-(09-03-2023)(new)-06422d051c4bc68.09607613.pdf,,2026-07-22T13:07:50Z,
,"Report No.1 of the year 2023 - Union Territory Finances Audit Report for the year ended 31 March 2022, Government of Union Territory of Jammu and Kashmir.",,Financial,Finance,2021-22,https://cag.gov.in/en/audit-report/details/118551,/webroot/uploads/download_audit_report/2023/Report-No--01-UTFAR-2021-22-Eng-WC-06422ccd1bc6f45.04072666.pdf,,2026-07-22T13:07:50Z,
,"Report No. 2 of the year 2022 - Audit Report of the Comptroller and Auditor General of India on the Union Territory Finances for the year ended 31 March 2021,Government of Union Territory of Jammu and Kashmir",,,Finance,2020-21,https://cag.gov.in/en/audit-report/details/116681,/webroot/uploads/download_audit_report/2022/UTFAR 2020-21_Report No. 2 of 2022_UT_J&K_English-062f0f29b22de67.10808454.pdf,,2026-07-22T13:08:58Z,
,"Report No.1 of 2022-Union Territory Finances, Government of Union Territory of Jammu and Kashmir and Administration of Union Territory of Ladakh",,,Finance,2021-22,https://cag.gov.in/en/audit-report/details/116230,/webroot/uploads/download_audit_report/2022/UTFAR 2019-20_Report No. 1 of 2022_UT_J&K & Ladakh_English-06274ed301c7e02.01326003-0629da90348cde5.16262980.pdf,,2026-07-22T13:09:06Z,1/2022
,Report No. 3 of 2021- State Finances Audit Report of Government of Jammu & Kashmir,,Financial,Finance,2020-21,https://cag.gov.in/en/audit-report/details/116122,/webroot/uploads/download_audit_report/2021/SFAR 2019-20_Sate_Report No. 3 of 2021_English-0624fe4023292e2.19539243.pdf,,2026-07-22T13:09:35Z,3/2021
,"Report No. 4 of 2021- Social, General, Economic and Revenue Sector of Government of J&K",,Financial,Taxes and Duties,2019-20,https://cag.gov.in/en/audit-report/details/116112,/webroot/uploads/download_audit_report/2020/Report No. 4 of 2021_2019-20_UT J&K_English_Final-0624fc82841b749.39680518.pdf,,2026-07-22T13:09:35Z,4/2021
,"Report no. 2 of 2021 - Prime Minister’s Development Package for the year ended 31 March 2019, Government of Jammu and Kashmir",,,Social Welfare,2018-19,https://cag.gov.in/en/audit-report/details/114694,/webroot/uploads/download_audit_report/2021/Report No. 2 of 2021_PMDP_English_signed-061af2ebaa2dd92.53179774.pdf,,2026-07-22T13:09:52Z,2/2021
,"Report no. 1 of 2021 - Social, General, Economic and Revenue Sector Government of J&K",,Financial,Finance,2020-21,https://cag.gov.in/en/audit-report/details/113578,/webroot/uploads/download_audit_report/2021/Report_no_1_of_2021_Social_General_Economic_and_Revenue_Sector_J&K-0605b27b195f7f2.56909631.pdf,,2026-07-22T13:10:21Z,1/2021
,"Report No. 2 of 2020 - State Finances, Government of Jammu & Kashmir",,Financial,Finance,2019-20,https://cag.gov.in/en/audit-report/details/113556,/webroot/uploads/download_audit_report/2020/Rep _2_of_2020_State_Finances_J&K-0605b1ebe72fe21.26471197.pdf,,2026-07-22T13:10:41Z,2/2020
,"Report of 1 of 2020 - Revenue Sector and Public Sector Undertakings (Social, General and Economic Sectors) Government of Jammu & Kashmir",,Financial,,2019-20,https://cag.gov.in/en/audit-report/details/111857,/webroot/uploads/download_audit_report/2020/Report-No.-1-of-2020_PSUs_2017-18_JK-05f92d99df0c7e9.54012703.pdf,,2026-07-22T13:10:58Z,
,Report of 1 of 2019 - State Finances Government of Jammu and Kashmir,,Financial,Finance,2018-19,https://cag.gov.in/en/audit-report/details/111855,/webroot/uploads/download_audit_report/2019/SFAR Report No. 1 of 2019_JK.pdf,,2026-07-22T13:11:22Z,
,"Report No.2 of 2019 - Social, General, Economic (Non-PSUs) sectors Government of Jammu and Kashmir",,Compliance,General Sector Ministries and Constitutional Bodies,2018-19,https://cag.gov.in/en/audit-report/details/111852,/webroot/uploads/download_audit_report/2019/Report No. 2 of 2019_Non-PSUs_JK.pdf,,2026-07-22T13:11:22Z,2/2019
,"Report of 1 of 2018 - Revenue Sector and Public Sector Undertakings (Social, General and Economic Sectors) Government of Jammu & Kashmir",,Financial,General Sector Ministries and Constitutional Bodies,2017-18,https://cag.gov.in/en/audit-report/details/111856,/webroot/uploads/download_audit_report/2018/Report No. 1_2018_PSUs_2016-17_JK.pdf,,2026-07-22T13:11:57Z,
,Report of 2 of 2018 - State Finances Government of Jammu and Kashmir,,Financial,Finance,2017-18,https://cag.gov.in/en/audit-report/details/111854,/webroot/uploads/download_audit_report/2018/Report No. 2_2018_SFR_2016-17_JK.pdf,,2026-07-22T13:11:57Z,
,"Report No.3 of 2018 - Social, General, Economic (Non-PSUs) sectors Government of Jammu and Kashmir",,Compliance,General Sector Ministries and Constitutional Bodies,2017-18,https://cag.gov.in/en/audit-report/details/111850,/webroot/uploads/download_audit_report/2018/Report No. 3_2018_Non-PSUs 2016-17_JK.pdf,,2026-07-22T13:11:57Z,3/2018
,"Report No.1 of 2017 - Social, General, Economic (Non-PSUs) sectors of Jammu and Kashmir Government of Jammu and Kashmir",,Compliance,General Sector Ministries and Constitutional Bodies,2016-17,https://cag.gov.in/en/audit-report/details/32671,"/webroot/uploads/download_audit_report/2017/Report_No.1_of_2017_-_Social,_General,_Economic_(Non-PSUs)_sectors_of_Jammu_and_Kashmir_Government_of_Jammu_and_Kashmir_0.pdf",,2026-07-22T13:13:11Z,1/2017
,Report No.4 of 2016 - Performance Audit of Disaster Management in the State of Jammu and Kashmir Government of Jammu and Kashmir,,Performance,Environment and Sustainable Development,2016-17,https://cag.gov.in/en/audit-report/details/32651,/webroot/uploads/download_audit_report/2017/Report_No.4_of_2016_-_Performance_Audit_of_Disaster_Management_in_the_State_of_Jammu_and_Kashmir_Government_of_Jammu_and_Kashmir.pdf,,2026-07-22T13:13:11Z,4/2016
,Report of 2016 - State Finances Government of Jammu and Kashmir,,Financial,Finance,2016-17,https://cag.gov.in/en/audit-report/details/32643,/webroot/uploads/download_audit_report/2017/Report_of_2016_-_State_Finances_Government_of_Jammu_and_Kashmir.pdf,,2026-07-22T13:13:11Z,
,Report No.6 of 2016 - Revenue Sector and Public Sector Undertakings Government of Jammu and Kashmir,,Financial,Finance,2016-17,https://cag.gov.in/en/audit-report/details/32633,/webroot/uploads/download_audit_report/2017/Report_No.6_of_2016_-_Revenue_Sector_and_Public_Sector_Undertakings_Government_of_Jammu_and_Kashmir.pdf,,2026-07-22T13:13:11Z,6/2016
,State Finances Report 2016 - Jammu and Kashmir,,Financial,Finance,2016-17,https://cag.gov.in/en/audit-report/details/26279,/webroot/uploads/download_audit_report/2017/JK_State_Finances_for_the_year_ended_31_March_2015.pdf,,2026-07-22T13:13:52Z,
,Report 3 of 2016 - Revenue Sector Jammu and Kashmir,,Financial,Finance,2016-17,https://cag.gov.in/en/audit-report/details/26270,/webroot/uploads/download_audit_report/2017/JK_Report_3_of_2016_Revenue_Sector.pdf,,2026-07-22T13:13:52Z,
,"Annual Technical Inspection Report on Urban Local Bodies for the year ended 31 March 2015, Government of Jammu and Kashmir",,,Local Bodies,2014-15,https://cag.gov.in/en/audit-report/details/32680,"/webroot/uploads/download_audit_report/2016/Annual_Technical_Inspection_Report_on_Urban_Local_Bodies_for_the_year_ended_31_March_2015,_Government_of_Jammu_and_Kashmir_0.pdf",,2026-07-22T13:14:00Z,
,"Report 2 of 2016 - Social, General, Economic PSUs Sectors Jammu and Kashmir",,,Social Welfare,2015-16,https://cag.gov.in/en/audit-report/details/26181,/webroot/uploads/download_audit_report/2016/JK_Report_2_of_2016_Social_General_Economic_PSUs.pdf,,2026-07-22T13:14:11Z,
,"Report 1 of 2016 Social, General, Economic (Non-PSUs) sectors, Jammu and Kashmir",,Compliance,Social Welfare,2015-16,https://cag.gov.in/en/audit-report/details/26173,/webroot/uploads/download_audit_report/2016/JK_Report_1_of_2016_Social_General_Economic_Non_PSUs.pdf,,2026-07-22T13:14:11Z,
,Report of 2015 - Financial and Performance Audit on  State Finances of Government of Jammu Kashmir,,Performance,,2014-15,https://cag.gov.in/en/audit-report/details/5597,/webroot/uploads/download_audit_report/2015/Jammu_Kashmir_SF_2015.pdf,,2026-07-22T13:15:40Z,
,"Report No. 4 of 2015 - Compliance and Performance Audit on  Social, General Economic (Non-PSUs) Sectors of Government of Jammu Kashmir",,Performance,,2014-15,https://cag.gov.in/en/audit-report/details/5586,/webroot/uploads/download_audit_report/2015/Jammu_Kashmir_Report_4_2015.pdf,,2026-07-22T13:15:40Z,4/2015
,Report No. 3 of 2015 - Financial and Performance Audit on Revenue and Public Sector Undertakings of Government of Jammu Kashmir,,Performance,,2014-15,https://cag.gov.in/en/audit-report/details/5566,/webroot/uploads/download_audit_report/2015/Jammu_Kashmir_Report_3_2015.pdf,,2026-07-22T13:15:40Z,3/2015
,Report of 2014 - Compliance and Financial Audit on State Finances of Government of Jammu Kashmir,,Financial,,2013-14,https://cag.gov.in/en/audit-report/details/5553,/webroot/uploads/download_audit_report/2014/Jammu_Kashmir_SF_2014.pdf,,2026-07-22T13:21:06Z,
,"Report No. 2 of 2014 - Compliance and Performance Audit on Social,General and Economic Sector of Government of Jammu Kashmir",,Performance,,2013-14,https://cag.gov.in/en/audit-report/details/5541,/webroot/uploads/download_audit_report/2014/Jammu_Kashmir_Report_2_2014.pdf,,2026-07-22T13:21:06Z,2/2014
,Report No. 1 of 2014 - Performance Audit on Revenue and Public Sector Undertakings of Government of Jammu Kashmir,,Performance,,2013-14,https://cag.gov.in/en/audit-report/details/5523,/webroot/uploads/download_audit_report/2014/Jammu_Kashmir_Report_1_2014.pdf,,2026-07-22T13:21:06Z,1/2014
,Report No. 3 of 2013 - Financial and Performance Audit on District Budgam of Government of Jammu Kashmir,,Performance,,2012-13,https://cag.gov.in/en/audit-report/details/5502,/webroot/uploads/download_audit_report/2013/Jammu_Kashmir_Report_3_2013.pdf,,2026-07-22T13:31:22Z,3/2013
,"Report No. 2 of 2013 - Performance Audit on Social,General and Economic Sectors of Government of Jammu Kashmir",,Performance,,2012-13,https://cag.gov.in/en/audit-report/details/5483,/webroot/uploads/download_audit_report/2013/Jammu_Kashmir_Report_2_2013.pdf,,2026-07-22T13:31:22Z,2/2013
,"Report No. 1 of 2013 - Performance Audit on Social,General,Economic (Non PSUs) and Revenue Sectors of Government of Jammu Kashmir",,Performance,,2012-13,https://cag.gov.in/en/audit-report/details/5468,/webroot/uploads/download_audit_report/2013/Jammu_Kashmir_Report_1_2013.pdf,,2026-07-22T13:31:22Z,1/2013
,Report No. 1 of 2012 - Compliance and Financial Audit on State Finances of Government of Jammu Kashmir,,Financial,,2011-12,https://cag.gov.in/en/audit-report/details/5461,/webroot/uploads/download_audit_report/2012/Jammu_Kashmir_Report_1_2012.pdf,,2026-07-22T13:42:16Z,1/2012
,"Report of 2011 - Compliance, Financial and Performance Audit on State Finance of Government of Jammu Kashmir",,Performance,,2010-11,https://cag.gov.in/en/audit-report/details/5381,/webroot/uploads/download_audit_report/2011/Jammu_Kashmir_SF_2011.pdf,,2026-07-22T13:42:56Z,
,Report of 2011 - Performance Audit on Revenue of Government of Jammu Kashmir,,Performance,,2010-11,https://cag.gov.in/en/audit-report/details/5370,/webroot/uploads/download_audit_report/2011/Jammu_Kashmir_Revenue_2011.pdf,,2026-07-22T13:43:00Z,
,Report of 2011 - Financial and Performance Audit on District Baramulla of Government of Jammu Kashmir,,Performance,,2010-11,https://cag.gov.in/en/audit-report/details/5339,/webroot/uploads/download_audit_report/2011/Jammu_Kashmir_District_Baramulla_2011.pdf,,2026-07-22T13:43:00Z,
,Report of 2011 - Performance Audit on District Jammu of Government of Jammu Kashmir,,Performance,,2010-11,https://cag.gov.in/en/audit-report/details/5307,/webroot/uploads/download_audit_report/2011/Jammu_Kashmir_District_2011.pdf,,2026-07-22T13:43:00Z,
,Report of 2011 - Performance Audit on Civil and Commercial of Government of Jammu Kashmir,,Performance,,2010-11,https://cag.gov.in/en/audit-report/details/5273,/webroot/uploads/download_audit_report/2011/Jammu_Kashmir_Civil_Commercial_2011.pdf,,2026-07-22T13:43:00Z,
,"Report of 2010 - Compliance, Financial and Performance  Audit on State Finances of Government of Jammu Kashmir",,Performance,,2009-10,https://cag.gov.in/en/audit-report/details/5262,/webroot/uploads/download_audit_report/2010/Jammu_Kashmir_SF_2010.pdf,,2026-07-22T13:43:49Z,
,Report of 2010 - Performance Audit on District Rajouri of Government of Jammu Kashmir,,Performance,,2009-10,https://cag.gov.in/en/audit-report/details/5242,/webroot/uploads/download_audit_report/2010/Jammu_Kashmir_District_Rajouri_2010.pdf,,2026-07-22T13:43:49Z,
,Report of 2010 - Financial and Performance Audit on Civil and Commercial of Government of Jammu Kashmir,,Performance,,2009-10,https://cag.gov.in/en/audit-report/details/5231,/webroot/uploads/download_audit_report/2010/Jammu_Kashmir_Civil_2010.pdf,,2026-07-22T13:43:49Z,
,Report of 2009 - Financial and Performance Audit on State Finance of Government of Jammu Kashmir,,Performance,,2008-09,https://cag.gov.in/en/audit-report/details/5216,/webroot/uploads/download_audit_report/2009/Jammu_Kashmir_SF_2009.pdf,,2026-07-22T13:44:33Z,
Andhra Pradesh,Report 7 of 2025 - Compliance Audit (Commercial) Report of the Comptroller and Auditor General of India for the period ended March 2023 pertaining to Government of Andhra Pradesh,,Compliance,,2022-23,https://cag.gov.in/en/audit-report/details/124284,/webroot/uploads/download_audit_report/2025/Compliance-Audit-Commercial-069aaf5937f5ec5.44950541.pdf,,2026-07-22T13:04:56Z,
Andhra Pradesh,Report 6 of 2025 - Report of the Comptroller and Auditor General of India on Revenue Department for the period ended March 2023 pertaining to Government of Andhra Pradesh,,,Taxes and Duties,2022-23,https://cag.gov.in/en/audit-report/details/124282,/webroot/uploads/download_audit_report/2025/English-CAR-2022-23---Full-Report-069aaf35d87efb7.28653038.pdf,,2026-07-22T13:04:56Z,
Andhra Pradesh,Report 5 of 2025 - Performance and Compliance Audit (Civil) Report of the Comptroller and Auditor General of India on for the period ended March 2022 pertaining to Government of Andhra Pradesh,,Compliance,"Education, Health & Family Welfare",2021-22,https://cag.gov.in/en/audit-report/details/124280,/webroot/uploads/download_audit_report/2025/PCA-Report-No.5-of-2025_English-069aaf17d2b0187.40331878.pdf,,2026-07-22T13:04:56Z,
Andhra Pradesh,Report 4 of 2025 - Report of the Comptroller and Auditor General of India on Polavaram Irrigation Project pertaining to Government of Andhra Pradesh,,,Transport & Infrastructure,2024-25,https://cag.gov.in/en/audit-report/details/124266,/webroot/uploads/download_audit_report/2025/PA-on-Polavaram-Irrigation-Project-069aaece202fa02.61046831.pdf,,2026-07-22T13:04:56Z,
Andhra Pradesh,"Report 2 of 2025 Report of the Comptroller and Auditor General of India on Revenue and Environment, Forests, Science and Technology for the period ended March 2022 pertaining to Government of Andhra Pradesh",,,Environment and Sustainable Development,2021-22,https://cag.gov.in/en/audit-report/details/124254,/webroot/uploads/download_audit_report/2025/English---AR-2021-22-Full-Report--069aacbd5c427b3.69861116.pdf,,2026-07-22T13:04:56Z,
Andhra Pradesh,Report 1 of 2025 - Report of the Comptroller and Auditor General of India on  Functioning of Mines and Geology Department pertaining to Government of Andhra Pradesh,,,Industry and Commerce,2024-25,https://cag.gov.in/en/audit-report/details/124243,/webroot/uploads/download_audit_report/2025/Mines-and-Geology-English---06-06-2025-069aac91b5a7e34.13549710.pdf,,2026-07-22T13:04:56Z,
Andhra Pradesh,Report 4 of 2024 – Report of the Comptroller and Auditor General of India on Local Bodies for the year ended March 2022 pertaining to Government of Andhra Pradesh,,,Local Bodies,2021-22,https://cag.gov.in/en/audit-report/details/120912,/webroot/uploads/download_audit_report/2024/Local-Bodies_-Report-No.4-_-English-Version-(2)-0673fe90a0d1636.14670089.pdf,,2026-07-22T13:06:33Z,
Andhra Pradesh,Report 3 of 2024 – Report of the Comptroller and Auditor General of India on Public Health Infrastructure and Management of Health Services in Andhra Pradesh,,,"Education, Health & Family Welfare",2023-24,https://cag.gov.in/en/audit-report/details/120889,/webroot/uploads/download_audit_report/2024/Report-No.-3-of-2024--Performance-Audit-on-Public-Health-Infrastructure-and-Management-of-Health-Services-in-AP-0673fdc2a17e028.11698250.pdf,,2026-07-22T13:06:33Z,
Andhra Pradesh,Report 2 of 2024 – State Finances Audit Report for the year ended 31 March 2023 pertaining to Government of Andhra Pradesh,,Financial,Finance,2022-23,https://cag.gov.in/en/audit-report/details/120878,/webroot/uploads/download_audit_report/2024/Report-2-of-2024---The-State-Finances-Audit-Report-of-the-Comptroller-and-Auditor-General-of-India-for-the-year-ended-31-March-2023-pertaining-to-Government-of-Andhra-Pradesh-0673fda58d17fd9.47184075.pdf,,2026-07-22T13:06:33Z,
Andhra Pradesh,Report 1 of 2024 - Information Systems Audit Report of the Comptroller and Auditor General of India on Andhra Pradesh Comprehensive Financial Management System (CFMS),,,Finance,2023-24,https://cag.gov.in/en/audit-report/details/120867,/webroot/uploads/download_audit_report/2024/CFMS_English_Report-0673fd6a92c4f42.70978531.pdf,,2026-07-22T13:06:33Z,
Andhra Pradesh,Report No.4 of 2023 - Compliance Audit Report of the Comptroller and Auditor General of India on Poola Subbaiah Veligonda Project,,Compliance,Environment and Sustainable Development,2022-23,https://cag.gov.in/en/audit-report/details/119575,/webroot/uploads/download_audit_report/2023/Report-4-of-2023-065c485de198fb0.66253058.pdf,,2026-07-22T13:07:31Z,4/2023
Andhra Pradesh,Report No. 3 of 2023 - Compliance Audit Report of the Comptroller and Auditor General of India for the year ended March 2021,,Compliance,Social Welfare,2020-21,https://cag.gov.in/en/audit-report/details/119378,/webroot/uploads/download_audit_report/2023/Report-3-of-2023-Compliance-Audit-Report-of-the-Comptroller-and-Auditor-General-of-India-for-the-year-ended-March-2021-0651175e5b219e1.97774777.pdf,,2026-07-22T13:07:35Z,3/2023
Andhra Pradesh,Report No. 2 of 2023 - Performance Audit Report of the Comptroller and Auditor General of India on Efficacy of Implementation of 74th Constitutional Amendment Act,,Performance,Local Bodies,2022-23,https://cag.gov.in/en/audit-report/details/119365,/webroot/uploads/download_audit_report/2023/Report-2-of-2023-Performance-Audit-Report-of-the-Comptroller-and-Auditor-General-of-India-on-Efficacy-of-Implementation-of-74th-Constitutional-Amendment-Act-0651173d604ab28.25935362.pdf,,2026-07-22T13:07:35Z,2/2023
Andhra Pradesh,Report 1 of 2023 - The State Finances Audit Report of the Comptroller and Auditor General of India for the year ended 31 March 2022 pertaining to Government of Andhra Pradesh,,Financial,Finance,2021-22,https://cag.gov.in/en/audit-report/details/118464,/webroot/uploads/download_audit_report/2022/State-Finance-Audit-2023-0641dbf4cbb9056.86610987.pdf,,2026-07-22T13:08:28Z,
Andhra Pradesh,Report No. 3 of the year 2022 - Compliance Audit Report of the Comptroller and Auditor General of India for the year ended March 2021 (Departments of Revenue and Transport) pertaining to Government of Andhra Pradesh,,Compliance,Transport & Infrastructure,2020-21,https://cag.gov.in/en/audit-report/details/118410,/webroot/uploads/download_audit_report/2022/Auditor-General-of-India--for-the-year-ended-March-2021-(Departments-of-Revenue-and-Transport)-English-0641d8400e72b61.28574364.pdf,,2026-07-22T13:08:28Z,
Andhra Pradesh,"Report No. 1 of the year 2022 - State Finances Audit Report for the year ended 31 March 2021, Government of Andhra Pradesh.",,Financial,Finance,2020-21,https://cag.gov.in/en/audit-report/details/117548,/webroot/uploads/download_audit_report/2022/Full Report-0633175811201a3.78878998.pdf,,2026-07-22T13:08:46Z,
Andhra Pradesh,"Report No. 2: Performance Audit of Outcomes in Higher Education in Andhra Pradesh, Government of Andhra Pradesh.",,Performance,Finance,2021-22,https://cag.gov.in/en/audit-report/details/117307,/webroot/uploads/download_audit_report/2022/HE_PA English Final Report-0632afbc6ca69f7.77442470.pdf,,2026-07-22T13:08:50Z,
Andhra Pradesh,Report No. 3 of 2021 - State Finances Audit Report for the year ended 31 March 2020,,Financial,Finance,2019-20,https://cag.gov.in/en/audit-report/details/114676,/webroot/uploads/download_audit_report/2021/SFAR 2019-20-061a8a77e232012.52437220.pdf,,2026-07-22T13:09:52Z,3/2021
Andhra Pradesh,"Report No.1 of 2021 - General,Social & Economic Sectors and Public Sector Undertakings Government of Andhra Pradesh",,Compliance,Local Bodies,2020-21,https://cag.gov.in/en/audit-report/details/113900,/webroot/uploads/download_audit_report/2021/Report of CAG on 'GS&ES and PSUs'_AP_31 March 2019-English version-060a7bb63a6b549.38597130.pdf,,2026-07-22T13:10:17Z,1/2021
Andhra Pradesh,Report No.2 of 2021 - Revenue Sector Government of Andhra Pradesh,,Financial,Taxes and Duties,2020-21,https://cag.gov.in/en/audit-report/details/113890,/webroot/uploads/download_audit_report/2021/Report No.2 of 2021 - Revenue Sector Government of Andhra Pradesh-060a7b7d1cfa8f8.58930945.pdf,,2026-07-22T13:10:17Z,2/2021
Andhra Pradesh,Report No. 4 of 2020 - State Finances Government of Andhra Pradesh,,Financial,Finance,2016-17,https://cag.gov.in/en/audit-report/details/112912,/webroot/uploads/download_audit_report/2017/FULL State Finances audit report English-05fce75b3418552.01160559.pdf,,2026-07-22T13:10:50Z,4/2020
Andhra Pradesh,Report No. 3 of 2020 - Economic Sector and Public Sector Undertakings Government of Andhra Pradesh,,Compliance,,2016-17,https://cag.gov.in/en/audit-report/details/112897,/webroot/uploads/download_audit_report/2017/1 Full Report Economic Sector and PSUs of GoAP-05fce732f169688.66094552.pdf,,2026-07-22T13:10:50Z,3/2020
Andhra Pradesh,Report No. 2 of 2020 - General & Social Sector Government of Andhra Pradesh,,,Social Welfare,2016-17,https://cag.gov.in/en/audit-report/details/112889,/webroot/uploads/download_audit_report/2017/General & social sector English-05fce7166779b03.14115048.pdf,,2026-07-22T13:10:50Z,2/2020
Andhra Pradesh,Report No. 1 of 2020 - Revenue Sector Government of Andhra Pradesh,,Financial,Taxes and Duties,2016-17,https://cag.gov.in/en/audit-report/details/112877,/webroot/uploads/download_audit_report/2017/Andhra Pradesh-Report No 1 of 2018 (Revenue Sector)-05fce6e2ced06c1.37266434.pdf,,2026-07-22T13:10:50Z,1/2020
Andhra Pradesh,Report No.4 of 2018 - Economic Sector Government of Andhra Pradesh,,,Finance,2017-18,https://cag.gov.in/en/audit-report/details/47500,/webroot/uploads/download_audit_report/2018/Report_No_4_of_2018_-_Economic_Sector_Government_of_Andhra_Pradesh.pdf,,2026-07-22T13:12:19Z,4/2018
Andhra Pradesh,Report No.2 of 2018 - State Finances Government of Andhra Pradesh,,Financial,Finance,2017-18,https://cag.gov.in/en/audit-report/details/44893,/webroot/uploads/download_audit_report/2018/Report_No_2_of_2018_-_State_Finances_Government_of_Andhra_Pradesh.pdf,,2026-07-22T13:12:36Z,2/2018
Andhra Pradesh,Report No.1 of 2018 - Revenue Sector Government of Andhra Pradesh,,Financial,Taxes and Duties,2017-18,https://cag.gov.in/en/audit-report/details/44881,/webroot/uploads/download_audit_report/2018/Report_No_1_of_2018_-_Revenue_Sector_Government_of_Andhra_Pradesh.pdf,,2026-07-22T13:12:36Z,1/2018
Andhra Pradesh,Report No.3 of 2018 - Public Sector Undertakings Government of Andhra Pradesh,,Compliance,General Sector Ministries and Constitutional Bodies,2017-18,https://cag.gov.in/en/audit-report/details/44868,/webroot/uploads/download_audit_report/2018/Report_No_3_of_2018_-_Public_Sector_Undertakings_Government_of_Andhra_Pradesh.pdf,,2026-07-22T13:12:36Z,3/2018
Andhra Pradesh,Report No.5 of 2018 - General & Social Sector Government of Andhra Pradesh,,,,2017-18,https://cag.gov.in/en/audit-report/details/44834,/webroot/uploads/download_audit_report/2018/Report_No_5_of_2018_-_General_&_Social_Sector_Government_of_Andhra_Pradesh.pdf,,2026-07-22T13:12:40Z,5/2018
Andhra Pradesh,Report No 4 of 2017 - Economic Sector Andhra Pradesh,,,Agriculture and Rural Development,2016-17,https://cag.gov.in/en/audit-report/details/28758,/webroot/uploads/download_audit_report/2017/AP_Report_No_4_of_2017_on_Economic_Sector.pdf,,2026-07-22T13:13:28Z,4/2017
