state,title,publication_date,report_type,sector,audit_year,detail_url,pdf_url,pdf_size_mb,scraped_at,report_no
Sikkim,"Report 1 of 2022, State Finances Audit Report 2020-21, Government of Sikkim",,Financial,Finance,2020-21,https://cag.gov.in/en/audit-report/details/118615,/webroot/uploads/download_audit_report/2021/State-Finances-Audit-Report-2020-21-Sikkim-(Full-Report)-064250a04f1bd51.01455506.pdf,,2026-07-22T13:08:28Z,
Sikkim,"Audit Report on Social, Economic, Revenue and General Sectors 2019-20 Sikkim",,Compliance,Finance,2019-20,https://cag.gov.in/en/audit-report/details/118606,"/webroot/uploads/download_audit_report/2020/Audit-Report-on-Social,-Economic,-Revenue-and-General-Sectors-2019-20-(Full-Report)-0642507a0d3ec42.02182492.pdf",,2026-07-22T13:08:28Z,
Sikkim,"Report 3 of 2021, State Finances Audit Report 2019-20 Sikkim",,Financial,Finance,2019-20,https://cag.gov.in/en/audit-report/details/114727,/webroot/uploads/download_audit_report/2020/SFAR 2019-20_Report No. 3 of 2021_English-061b1d564cfac52.38838307.pdf,,2026-07-22T13:10:33Z,
Sikkim,"Report No. 2 of 2021, Audit Report on Economic, Revenue & General Sectors 2018-19 Sikkim",,Compliance,,2018-19,https://cag.gov.in/en/audit-report/details/114718,/webroot/uploads/download_audit_report/2019/Report No. 2 of 2021_(2018-19)_English-061b1d35666e721.31897237.pdf,,2026-07-22T13:11:14Z,2/2021
Sikkim,Performance Audit Report on Select District Hospitals in Sikkim 2018-19 Sikkim,,Performance,"Education, Health & Family Welfare",2018-19,https://cag.gov.in/en/audit-report/details/113840,/webroot/uploads/download_audit_report/2019/Report No. 1 of 2021_DH_2018-19_English-0606c1d5dd57409.90990992.pdf,,2026-07-22T13:11:18Z,
Sikkim,State Finances Audit Report 2018-19 Sikkim,,Financial,Finance,2018-19,https://cag.gov.in/en/audit-report/details/113831,/webroot/uploads/download_audit_report/2019/SFAR 2018-19_Report No. 1_English-0606c0652e0ce66.75435100.pdf,,2026-07-22T13:11:18Z,
Sikkim,"Audit Report on Economic, Revenue & General Sectors 2017-18 Sikkim",,Compliance,Finance,2017-18,https://cag.gov.in/en/audit-report/details/52723,/webroot/uploads/download_audit_report/2019/Report_No_2_of_2019_Economic_Revenue_&_General_Sector_Government_of_Sikkim.pdf,,2026-07-22T13:11:45Z,
Sikkim,State Finances Audit Report 2017-18 Sikkim,,Financial,Finance,2017-18,https://cag.gov.in/en/audit-report/details/52644,/webroot/uploads/download_audit_report/2019/Report_No_1_of_2019_State_Finances_Government_of_Sikkim.pdf,,2026-07-22T13:11:50Z,
Sikkim,"Audit Report on Social, Economic, Revenue & General Sectors 2016-17 Sikkim",,Compliance,General Sector Ministries and Constitutional Bodies,2016-17,https://cag.gov.in/en/audit-report/details/46069,/webroot/uploads/download_audit_report/2018/Report_No_1_of_2018_-_Social__Economic__Revenue_and_General_Sectors_Government_of_Sikkim.pdf,,2026-07-22T13:12:27Z,
Sikkim,State Finances Audit Report 2016-17 Sikkim,,Financial,Finance,2016-17,https://cag.gov.in/en/audit-report/details/45123,/webroot/uploads/download_audit_report/2017/Report_No_2_of_2017_-_State_Finances_Government_of_Sikkim.pdf,,2026-07-22T13:12:59Z,
Sikkim,Performance Audit Report on Sikkim State Lotteries 2015-16 Sikkim,,Performance,Finance,2015-16,https://cag.gov.in/en/audit-report/details/42646,/webroot/uploads/download_audit_report/2017/Report_No.1_of_2017_-_Performance_Audit_on_Sikkim_State_Lotteries_Government_of_Sikkim.pdf,,2026-07-22T13:13:07Z,
Sikkim,"Audit Report on Social, Economic & Revenue Sectors 2015-16 Sikkim",,Compliance,General Sector Ministries and Constitutional Bodies,2015-16,https://cag.gov.in/en/audit-report/details/28838,/webroot/uploads/download_audit_report/2017/Sikkim_Report_No_3_of_2016_SER_Sectors.pdf,,2026-07-22T13:13:28Z,
Sikkim,State Finances Audit Report 2015-16 Sikkim,,Financial,Finance,2015-16,https://cag.gov.in/en/audit-report/details/28830,/webroot/uploads/download_audit_report/2017/Report_No_2_of_2016_Sikkim_State_Finances.pdf,,2026-07-22T13:13:28Z,
