seq,candidate_name,notes
54,AMRITPAL SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
55,ANGAD SINGH,no_estamp_cert; no_pending_cases_count; no_movable_totals
56,ANGREJ SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
57,ANGREJ SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
58,ANGREJ SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
59,ANGREJ SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
60,ANIL JOSHI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
61,ANIL JOSHI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
62,ANIL KUMAR GOYAL,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
63,ANITA SHAH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
64,ANMOL GAGAN MAAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
65,ANMOL GAGAN MAAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
66,ANMOL GAGAN MAAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
67,ANMOL GAGAN MAAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
68,ANUROOP KAUR SANDHU,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
69,ARASHDEEP SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
70,ARUNA CHAUDHARY,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
71,ARUNA CHAUDHARY,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
72,ARUNA CHAUDHARY,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
73,ARUN DOGRA,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
74,ARUN NARANG,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
75,ASHOK KUMAR,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
76,ASHOK PARASHAR  PAPPI,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
77,ASHU BANGER,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
78,ASHWANI KUMAR SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
79,ASHWANI KUMAR SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
80,ASHWANI KUMAR SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
81,ASHWANI KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
82,ASHWANI KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
83,ASHWANI KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
84,ASHWANI SEKHRI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
85,AVNEET SINGH BAGLI KALAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
86,AVTAR SINGH HARPALPUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
87,AVTAR SINGH JUNIOR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
88,AVTAR SINGH NAMBERDAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
89,AVTAR SINGH ZIRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
90,AVTAR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
91,AVTAR SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
92,AVTAR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
93,BABA PAWAN KUMAR,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
94,BABBU SINGH BAAZ,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
95,BACHITAR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
96,BACHITAR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
97,BAGEECHA SINGH DHALIWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
98,BAHADUR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
99,BAHAL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
100,BAKHSHISH SINGH UPPAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
101,BALBIR SINGH ALAMGIR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
102,BALBIR SINGH RAJEWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
103,BALBIR SINGH SIDHU,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
104,BALBIR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
105,BALBIR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_movable_totals
106,BALDEEP KUMAR,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
107,BALDEV SINGH AKLIA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count
108,BALDEV SINGH KHAIRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
109,BALDEV SINGH MANUKE,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
110,BALDEV SINGH MIADIAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
111,BALDEV SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
112,BALDEV SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
113,BALDEV SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
114,BALDEV SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
115,BALDEV SINGH   DEV SARABHA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
116,BALJEET SINGH LADI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
117,BALJEET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
118,BALJINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
119,BALJINDER SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
120,BALJINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
121,BALJINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
122,BALJINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
123,BALJINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
124,BALJINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
