seq,candidate_name,notes
235,DARSHAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
236,DARSHAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
237,DARSHAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
238,DAVINDER KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
239,DAVINDER SINGH GHUBAYA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
240,DAVINDER SINGH SANGOWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
241,DAVINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
242,DAVINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
243,DAVINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
244,DAVINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
245,DAVINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
246,DAVINDER SINGH  T N   VISHWKARMA RAMGARHIA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
247,DAYAL SODHI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
248,DEEPAK DHIR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
249,DEEPAK JYOTI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
250,DEEPAK SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
251,DEEPINDER SINGH DHILLON,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
252,DESH RAJ,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
253,DES RAJ DHUGGA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
254,DES RAJ JASSAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
255,DEVINDERJEET SINGH LADDI DHOSE,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
256,DEVINDERJEET SINGH LADDI DHOSE,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
257,DEVINDER SINGH BAJWA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
258,DEVINDER SINGH KOTLI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
259,DHANWANT KAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
260,DHARAMJEET SINGH  BONNY BEDI,name_from_filename (Part A regex missed); no_estamp_cert; no_movable_totals
261,DHARAMPAL MAUSH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
262,DHARAMPAL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
263,DHARAMPAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
264,DHARAM SINGH FOUJI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
265,DHARAM SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
266,DHARMINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
267,DHARMINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
268,DHARMINDER,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
269,DHIRAJ KUMAR,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
270,DHIRAJ KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
271,DHRAMINDER SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
272,DIDAR SINGH BHATTI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
273,DILBAGH SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
274,DILBAG SINGH SHERON,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
275,DILRAJ SINGH BHUNDAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
276,DINESH DHALL,no_estamp_cert; no_pending_cases_count; no_movable_totals
277,DINESH KUMAR CHADHA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
278,DINESH KUMAR CHADHA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
279,DINESH KUMAR CHADHA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
280,DINESH KUMAR CHADHA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
281,DINESH SINGH  BABBU,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
282,DOCTOR JASPREET SINGH BIJA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
283,DOMINIC MATTU,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
284,DR BALBIR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
285,Ravjot Singh,no_estamp_cert; no_pending_cases_count; no_movable_totals
286,DR SUKHWANT SINGH VIRDI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
287,DR  AMANDEEP KAUR ARORA,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
288,DR  AMANDEEP KAUR ARORA,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
289,DR  AMANDEEP KAUR ARORA,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
290,DR  AMANDEEP KAUR ARORA,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
291,DR  BALWINDER SINGH HAYER,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
292,DR  BHAI PARAMJIT SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
293,DR  DALJIT SINGH CHEEMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
294,DR  DALJIT SINGH CHEEMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
295,DR  DALJIT SINGH CHEEMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
296,DR  DEVINDER SINGH GILL,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
297,DR  DHARAMBIR AGNIHOTRI,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
298,DR  DILBAG RAI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
299,DR  FAROOQ MASIH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
300,DR  HARJOT KAMAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
301,DR  JAGTAR SINGH CHANDI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
302,DR  JAGTAR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
303,DR  JASBIR SINGH SANDHU,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
304,DR  JASBIR SINGH SANDHU,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
305,DR  JASBIR SINGH SANDHU,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
306,DR  KAMALJIT SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
307,DR  KASHMIR SINGH SOHAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
308,DR  K  N  S  KANG,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
309,DR  K  N  S  KANG,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
310,DR  K  N  S  KANG,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
311,DR  MANOJ BALA BANSAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
312,DR  NARESH SAGGAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
313,DR  NAVJOT SINGH DAHIYA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
314,DR  NISHAN SINGH HAKAMWALA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
315,DR  PARMINDER SHARMA,name_from_filename (Part A regex missed); movable_split_concatenated_digits; no_estamp_cert; no_pan; no_pending_cases_count
316,DR  RAJ KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
317,DR  RAJ KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
318,DR  RAJ KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
319,DR  RAM CHAWLA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
320,DR  RANVIR KAUR MIAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
321,DR  SOHAN LAL BLAGGAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
322,DR  SUKHMANDEEP SINGH DHILLON,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
323,EMAAN SINGH MANN,name_from_filename (Part A regex missed); no_estamp_cert; no_movable_totals
324,ER  AMRITBIR SINGH BHALMAJRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
325,ER  JAGTAR SINGH LAMBA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
326,FATEHJANG SINGH BAJWA,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
327,FAUJA SINGH,no_estamp_cert; no_pending_cases_count; no_movable_totals
328,F  NESARA KHATTON  FARZANA ALAM,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
329,GAGANDEEP SINGH A R,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
330,GAGANDEEP SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
331,GANIEVE KAUR MAJITHIA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
332,GAURAV KAKKAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_movable_totals
333,GOBIND SINGH CHHAJLI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
334,GOBIND SINGH LONGOWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
335,GONNY KHABRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
336,GOPI SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
337,GORA SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
338,GULZAR KHANNA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
339,GULZAR SINGH RANIKE,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
340,GURADITTA SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
341,GURBACHAN SINGH BABEHALI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
342,GURBACHAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
343,GURBAJ SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
344,GURBHEJ SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
345,GURCHARAN SINGH RAJPUT,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
346,GURCHARAN SINGH SANGHA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
347,GURCHARAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
348,GURCHARAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
349,GURDEEP SINGH DHALIWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
350,GURDEEP SINGH KAHLON,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
351,GURDEEP SINGH KALI,name_from_filename (Part A regex missed); movable_split_concatenated_digits; no_estamp_cert; no_pan; no_pending_cases_count
352,GURDEEP SINGH SIDHU,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
353,GURDEEP SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
354,GURDEEP SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
355,GURDEEP SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
356,GURDEV SHARMA DEBI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
357,GURDEV SINGH DEV MAAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
358,GURDEV SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
359,GURDEV SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
360,GURDHIAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
361,GURDIAL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
362,GURDIT SINGH SEKHON,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
363,GURINDER SINGH GARRY BIRRING,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
364,GURIQBAL SINGH MAHAL,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
365,GURJANT SINGH KATTU,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
366,GURJINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
367,GURJINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
368,GURJIT KAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
369,GURJODH SINGH GILL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
370,GURKIRAT SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
371,GURKIRAT SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
372,GURKIRAT SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
373,GURLAL GHANAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
374,GURLAL GHANAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
375,GURLAL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
376,GURLAL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
377,GURMEET KAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
378,GURMEET SINGH KHUDIAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
379,GURMEET SINGH KHUDIAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
380,GURMEET SINGH MEET HAYER,name_from_filename (Part A regex missed); no_estamp_cert; no_movable_totals
381,GURMEET SINGH MEET HAYER,name_from_filename (Part A regex missed); no_estamp_cert; no_movable_totals
382,GURMEET SINGH NANDGARH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
383,GURMEET SINGH RANGHRETA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
384,GURMEET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
385,GURMEET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
386,GURMEL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
387,GURMIT SINGH MUNDIAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
388,GURMIT SINGH SODHI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
389,GURMUKH SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
390,GURMUKH SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
391,GURNAM KAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
392,GURNAM SINGH DAUD,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
393,GURNAM SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
394,GURNAM SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
395,GURPAL SINGH GOLDY,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
396,GURPARTAP SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
397,GURPERVEZ SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
398,GURPREET BASSI GOGI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
399,GURPREET KAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
400,GURPREET SINGH ARORA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
401,GURPREET SINGH,movable_self_only; no_estamp_cert; no_pending_cases_count
402,GURPREET SINGH BHATTI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
403,GURPREET SINGH KOTLI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
404,GURPREET SINGH SHAHPUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
405,GURPREET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
406,GURPREET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
407,GURPREET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
408,GURPREET SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
409,GURPREET SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
410,GURPREET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
411,GURPREET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
412,GURPREET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
413,GURSAWAK SINGH BHANA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
414,GURSEWAK SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
415,GURSEWAK SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
416,GURSHARAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
417,GURTEJ SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
418,GURTEJ SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
419,GURWINDER SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
420,GURWINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
421,GURWINDER SINGH  RAJA BAJWA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
422,HAKAM SINGH THEKEDAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
423,HANSA SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
424,HANSA SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
425,HANS RAJ,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
426,HANS SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
427,HARBANS SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
428,HARBHAGWAN SHARMA BHIKHI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
429,HARBHAJAN SINGH E T O,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
430,HARBHAJAN SINGH E T O,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
431,HARBHAJAN SINGH E T O,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
432,HARBHAJAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
433,HARCHAND KAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
434,HARCHAND RAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
435,HARCHAND SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
436,HARDEEP SINGH DIMPY DHILLON,name_from_filename (Part A regex missed); no_estamp_cert; no_movable_totals
437,HARDEEP SINGH DIMPY DHILLON,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
438,HARDEEP SINGH MUNDIAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
439,HARDEEP SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
440,HARDEEP SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
441,HARDEEP SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
442,HARDEEP SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
443,HARDEV SINGH BAGGAR MAUR MANDI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
444,HARDIAL SINGH KAMBOJ,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
445,HARDIP SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
446,HARGOBIND SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
447,HARINDERJEET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
448,HARINDER PAL SINGH CHANDUMAJRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
449,HARINDER PAL SINGH HARRY MANN,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
450,HARINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
451,HARISH CHANDER,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
452,HARI CHAND GUPTA,name_from_filename (Part A regex missed); no_estamp_cert; no_movable_totals
453,HARJINDER KAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
454,HARJINDER SINGH TANDA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
455,HARJINDER SINGH TANDA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
456,HARJINDER SINGH THEKEDAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
457,HARJINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
458,HARJINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
459,HARJINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
460,HARJINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
461,HARJINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
462,HARJIT KAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
463,HARJIT SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
464,HARJIT SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
465,HARJOT SINGH BAINS,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
466,HARKIRAN JEET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
467,HARKIRAT SINGH RANA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
468,HARMANPREET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
469,HARMEET SINGH MURADMAJRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
470,HARMILAP SINGH GREWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
