constituency,rank,rank_reason,politician_id,candidate_name,party,won,myneta_total_assets,myneta_criminal_cases,myneta_education,has_eci_match,eci_quality_status,eci_fields_present
LAXMI NAGAR,3,party_priority:INC,136903,Sumit Sharma,INC,0,21699389,0,8th Pass,True,NEEDS_REVIEW,10
MADIPUR,1 (winner),winner,136173,Kailash Gangwal,BJP,1,7679369,0,12th Pass,True,NEEDS_REVIEW,10
MADIPUR,2,party_priority:AAP,136803,Rakhi Birla,AAP,0,3852358,1,Post Graduate,True,NEEDS_REVIEW,6
MADIPUR,3,party_priority:INC,136597,Jai Prakash Panwar,INC,0,551685853,0,12th Pass,False,,
MALVIYA NAGAR,1 (winner),winner,136174,Satish Upadhyay,BJP,1,132251447,0,Graduate,True,NEEDS_REVIEW,6
MALVIYA NAGAR,2,party_priority:AAP,136893,Somnath Bharti,AAP,0,22367040,7,Post Graduate,True,NEEDS_REVIEW,6
MALVIYA NAGAR,3,party_priority:INC,136605,Jitender Kumar Kochar,INC,0,205856905,0,12th Pass,True,NEEDS_REVIEW,9
MANGOL PURI,1 (winner),winner,136175,Raj Kumar Chauhan,BJP,1,118332064,0,12th Pass,True,NEEDS_REVIEW,3
MANGOL PURI,2,party_priority:AAP,136527,Dharam Rakshak Alias Rakesh Jatav,AAP,0,18280055,0,8th Pass,True,NEEDS_REVIEW,5
MANGOL PURI,3,party_priority:INC,136570,Hanuman Sahay Alias Hanuman Chauhan,INC,0,3741108,0,8th Pass,True,NEEDS_REVIEW,7
MATIA MAHAL,1 (winner),winner,136176,Aaley Mohammed Iqbal,AAP,1,11794437,1,12th Pass,True,NEEDS_REVIEW,7
MATIA MAHAL,2,party_priority:BJP,136520,Deepti Indora,BJP,0,10971252,0,Post Graduate,True,NEEDS_REVIEW,5
MATIA MAHAL,3,party_priority:INC,136470,Asim Ahmed Khan,INC,0,246027514,0,Graduate,True,NEEDS_REVIEW,7
MATIALA,1 (winner),winner,136177,Sandeep Sehrawat,BJP,1,18438177,2,Graduate Professional,True,NEEDS_REVIEW,5
MATIALA,2,party_priority:AAP,136902,Sumesh Shokeen,AAP,0,651417698,1,12th Pass,True,NEEDS_REVIEW,13
