seq,candidate_name,filename,affidavit_id,size_mb,other_affidavit_count,other_affidavits
63,PRAVEEN KUMAR,063_PRAVEEN_KUMAR__1842.pdf,1842,5.35,0,
64,PREETI,064_PREETI__1566.pdf,1566,5.67,0,
65,PREM CHAUHAN,065_PREM_CHAUHAN__1758.pdf,1758,10.0,1,PREM_CHAUHAN__1760.pdf
66,PRIYANKA GAUTAM,066_PRIYANKA_GAUTAM__1598.pdf,1598,9.81,1,PRIYANKA_GAUTAM__1603.pdf
67,PUNAM PANDEY,067_PUNAM_PANDEY__1569.pdf,1569,7.46,0,
68,RAGINI NAYAK,068_RAGINI_NAYAK__1694.pdf,1694,9.18,0,
69,RAHISUDDIN AHMAD,069_RAHISUDDIN_AHMAD__1876.pdf,1876,3.04,0,
70,RAI SINGH,070_RAI_SINGH__1596.pdf,1596,5.48,0,
71,RAJA RAM,071_RAJA_RAM__1768.pdf,1768,4.76,0,
72,RAJESH,072_RAJESH__1925.pdf,1925,8.2,0,
73,RAJESH KUMAR LOHIYA,073_RAJESH_KUMAR_LOHIYA__1940.pdf,1940,6.62,0,
74,RAJESH LILOTHIA,074_RAJESH_LILOTHIA__1923.pdf,1923,8.56,0,
75,RAJIV BHRIGUKUMAR,075_RAJIV_BHRIGUKUMAR__1870.pdf,1870,7.46,0,
76,RAJU NIGAM,076_RAJU_NIGAM__1943.pdf,1943,8.04,0,
77,RAJ KUMARI DHILLON,077_RAJ_KUMARI_DHILLON__1718.pdf,1718,9.48,0,
78,RAKESH SAGAR,078_RAKESH_SAGAR__1913.pdf,1913,1.0,0,
79,RATAN TYAGI,079_RATAN_TYAGI__1639.pdf,1639,7.33,0,
80,RAVINDRA SINGH RAVIYODAYA,080_RAVINDRA_SINGH_RAVIYODAYA__1752.pdf,1752,8.55,0,
81,RAVI PARTAP RAO,081_RAVI_PARTAP_RAO__1774.pdf,1774,6.05,0,
82,ROMAN RASHID,082_ROMAN_RASHID__1839.pdf,1839,10.09,1,ROMAN_RASHID__1843.pdf
83,SANGEETA,083_SANGEETA__1704.pdf,1704,6.46,0,
84,SANJEEV KUMAR,084_SANJEEV_KUMAR__1942.pdf,1942,7.26,0,
85,SANTOSH,085_SANTOSH__1669.pdf,1669,4.93,0,
86,SARAVANAN,086_SARAVANAN__1633.pdf,1633,5.96,0,
87,SAROJ BALA,087_SAROJ_BALA__1938.pdf,1938,8.45,0,
88,SHAIL KUMARI,088_SHAIL_KUMARI__1614.pdf,1614,0.44,0,
89,SHEELA DEVI,089_SHEELA_DEVI__1755.pdf,1755,7.95,0,
90,SUNDER LOHIYA,090_SUNDER_LOHIYA__1776.pdf,1776,4.27,0,
91,SUNIL KUMAR,091_SUNIL_KUMAR__1618.pdf,1618,5.39,0,
92,SYED MUNEEB,092_SYED_MUNEEB__1833.pdf,1833,3.03,0,
93,S  M  AQIF,093_S__M__AQIF__1862.pdf,1862,3.1,0,
94,TARUN KUMAR SHARMA,094_TARUN_KUMAR_SHARMA__1852.pdf,1852,3.34,0,
95,TEJ RAM,095_TEJ_RAM__1891.pdf,1891,4.04,0,
96,TIKRAJ SINGH,096_TIKRAJ_SINGH__1624.pdf,1624,6.11,0,
97,UMANG,097_UMANG__1818.pdf,1818,6.49,0,
98,UMESH RATHOR,098_UMESH_RATHOR__1665.pdf,1665,0.6,0,
99,VEER SINGH DHINGAN,099_VEER_SINGH_DHINGAN__1922.pdf,1922,8.56,1,VEER_SINGH_DHINGAN__1931.pdf
100,VINEET YADAV,100_VINEET_YADAV__1801.pdf,1801,1.39,0,
101,VISHESH KUMAR,101_VISHESH_KUMAR__1578.pdf,1578,6.46,0,
102,VIVEK GIRI,102_VIVEK_GIRI__1798.pdf,1798,9.1,0,
103,YOGESH KUMAR,103_YOGESH_KUMAR__1609.pdf,1609,7.46,0,
104,ZAINUDDIN,104_ZAINUDDIN__1824.pdf,1824,4.07,0,
